text,predicted_department
Bookkeeper,Administrative
Strategy & Investments,Business Development
Corporate Auditor,Other
Marketing Manager,Marketing
Professor,Other
Program Purchasing Leader / Program / Acquisition Buyer,Purchasing
Business Analyst,Business Development
Managementberater IT- und Governance,Consulting
Founder & CEO,Other
Geschäftsführer,Other
Manager,Other
Koordinerende sagsbehandler,Administrative
Head of Supply Chain,Other
Director of Finance,Other
Inhaber,Other
Geschäftsführer CFO,Other
Mitglied der Geschäftsleitung,Other
"Global Marketing Director, Nonwovens",Marketing
Social Researcher,Other
Berater,Consulting
Center Management,Other
Senior Project Manager,Project Management
Federal Account Manager,Sales
Brand Strategist,Marketing
Senior Category Manager,Purchasing
General Manager,Other
Owner and Executive Director,Other
Founder & Managing Director,Other
Orthodontie assistent,Other
Manager Risk Advisory,Consulting
Systemadministrator Clientservices,Information Technology
IT Program Manager – Information Security,Information Technology
Pionier der Strömungsoptimierung und Wasserstofftechnologien für effiziente Energielösungen,Other
CEO,Other
Head of Payment IT Solutions,Information Technology
Banking Prudential Supervision Analyst,Other
Geschäftsführer,Other
CEO,Other
SVP People & Culture Management and Services; CEO METRO Campus Services GmbH,Human Resources
Managing Director,Other
Building Consultant,Consulting
Managing Director,Other
Senior Director,Other
Commercial Director On Trade,Sales
CEO,Other
Senior Manager,Consulting
Graduate Engineer,Other
Senior Architect,Other
Dozent DHBW Stuttgart,Other
Mitbegründer und Geschäftsführer,Other
Data Researcher,Information Technology
MD PhD MBA MMSc,Other
Co-Fundador & Lead Developer,Information Technology
Sales Manager,Sales
"Director, Digital Services Business",Business Development
Unternehmensinhaber,Other
Docent lichamelijke opvoeding,Other
Marketing Engineer,Marketing
Technischer Leiter,Other
Senior Advisor to the CS Pension Fund in Switzerland,Human Resources
Gruppenleiter HR KPI & Reporting,Human Resources
CEO,Other
Responsable développement projets,Project Management
Transformation Partner,Consulting
"Executive Partner, Senior Software Engineer",Information Technology
Secretary General/CEO Welthungerhilfe,Other
Fachreferent MatWerk,Other
CEO,Other
Statistiker,Other
Chief Operating Officer,Other
Adjunct Researcher,Other
Self-Employed,Other
Managing Partner,Other
Partner,Other
Chief Information Officer,Information Technology
Visiting Lecturer,Other
Präsidentin Technische Universität Berlin,Other
Sr. Customer Support spec.,Customer Support
Personalreferent,Human Resources
Pflegefachkraft,Other
freischaffender Künstler,Other
Subcommittee Member,Other
Deputy Chief,Other
Product Manager,Other
OM/Customer Success Manager,Customer Support
Geschäftsführer,Other
Senior Director Product Management,Other
Matelot,Other
Gebietsleiter LBS NordWest,Sales
"Country Lead, Country Clinical Operations",Other
Director,Other
Sales Manager,Sales
Undergraduate Research Assistant,Other
Technical Specialist,Information Technology
Team Lead Global Supply Management,Purchasing
Leiter Projektmanagement / Projektleiter,Project Management
Unternehmensinhaber,Other
HR Business Partner,Human Resources
Corporate recruiter,Human Resources
Unternehmensinhaber,Other
Sr. Drafting & Design Technologist .,Other
Owner,Other
Global Category Manager,Purchasing
Program Manager,Project Management
Chief Growth Officer,Business Development
Senior Software Developer,Information Technology
Geschäftsführer / CEO&COO,Other
Customer Executive & Member of Management Northern Europe,Customer Support
Senior Software Engineer,Information Technology
Recruitment Consultant,Consulting
CEO,Other
Corporate Communications & Marketing Services Senior Manager,Marketing
International Clinical Project Manager,Project Management
Leiter Inhouse Logistik,Other
Technology Lead Germany,Information Technology
Director of Sales and Marketing,Sales
Customer Success Manager,Customer Support
Trade Marketing Manager,Marketing
Head Currency Solutions,Sales
SVP Sales & Accounts,Sales
Managing Director,Other
Construction site leader,Other
Data Manager,Information Technology
Vice President,Purchasing
Heimleiterin,Other
Chief Executive Officer,Other
Inhaber und Geschäftsführer,Other
Senior Manager,Other
Director of Education,Other
Gerente Comercial,Sales
Designer,Other
Gerente de RR.HH Mexico,Human Resources
Business Development & Key Account Manager,Business Development
CEO,Other
Quality Coordinator,Other
Pensionskundechef / Account Executive,Sales
Principal Advisor,Consulting
Senior Manager,Consulting
Geschäftsführender Gesellschafter,Other
Sales Director EMEA,Sales
Geschäftsführender Gesellschafter,Other
Verkaufsleiter,Sales
Chief Executive Officer,Other
Senior Program Manager,Project Management
Independent Advisor to Founders and Funds,Consulting
CST,Customer Support
R&D group manager,Other
Klinischer Psychologe,Other
Software Developer,Information Technology
COO,Other
Geschäftsführender Gesellschafter,Other
Expat Jumbo Operator,Other
Geschäftsführer,Other
Retired,Other
Application Specialist,Customer Support
Executive Director / Head of UN Advocacy,Other
Project V&V Manager,Project Management
Rechtsanwalt,Other
Indigenous Counsellor & Case Manager,Other
Bauleiter,Project Management
Amministrazione,Administrative
Head of Customer Sales Service & Sales Controlling,Sales
Engineering Manager,Other
Retired but still active and interested in Optics Development and Metrology,Other
Sales Consultant,Sales
Senior Technical Consultant,Consulting
Nurse Practitioner,Other
Packhouse Managing consultant,Consulting
Verwaltungsrat,Other
Development Manager,Business Development
Vertriebsspezialist,Sales
Rechtsanwalt,Other
HW-Developer BU Motion,Information Technology
Head of Organization Projects and Facility Operations,Other
Head of Global Life Products,Other
Investor,Other
Geschäftsführer,Other
Executive Assistant to the President,Administrative
Partner,Other
Webentwickler,Information Technology
Director Construction & Engineering,Other
Dekanatsrätin,Administrative
Mitarbeiter Produktmanagement,Other
Manager,Consulting
Head of Development,Other
Manager,Other
Chairman of the Board,Other
Stammdatenmanager R&D ENGINEERING / R&D,Other
aktiver Gesellschafter,Other
Leiter Produktion / Mitinhaber,Other
Senior Manager,Business Development
President,Other
Senior Brand Manager,Marketing
Leiter Instandhaltung,Other
Salesman,Sales
Senior Human Resources Manager,Human Resources
Direktor,Other
Influencer Marketing Executive,Marketing
Unternehmensinhaber,Other
Vizepräsident Junior,Other
Prokurist / Direktor Touristik,Other
Kipper -Spedition,Other
Pedagoga,Other
Behavioral Health Clinician,Other
Web Developer,Information Technology
Manager Custom Solutions,Sales
Responsable Développement Automotive,Business Development
Projektmanager strat. BK E/E Infrastruktur,Project Management
Responsable de projet marketing et communications,Project Management
Vermittlung und Verrentung von Immobilien,Sales
Approvisionneuse Bilingue,Purchasing
Digital Product Owner,Information Technology
Head of Legal,Other
Receptionist,Administrative
Retail Director DACH,Other
Chief Executive Officer,Other
General Manager,Other
Purser,Other
Vorstandsvorsitzender,Other
Associate,Consulting
VP,Human Resources
Partner,Other
Senior Vice President R&D,Other
Industriereiniger,Other
CEO,Other
Senior Vice President Global Supplier Management,Purchasing
Sr. International Agent,Customer Support
Manager- Hr Ops & Talent Acquisition,Human Resources
CEO,Other
Production Engineer,Other
Quality Engineering Manager,Other
Vertriebsleiter,Sales
Produktmanager,Marketing
Partner und Inhaber,Marketing
Senior Advisor,Consulting
Hockey Coach,Other
Quality Assurance Manager / Quality Contract Managment / GMP Auditor,Other
SVP Transformation & Strategy,Other
"Director, Sales Unit Benelux",Sales
Strategischer Einkäufer,Purchasing
VP Market Intelligence,Business Development
Director / Project implementation Manager,Project Management
Aktionär,Other
Werkstudent Facheinkauf Interieur,Purchasing
Account Director,Sales
Head teacher in art,Other
Chef,Other
Geschäftsführer,Other
General Manager,Other
Spa Concierge,Customer Support
Geschäftsführender Gesellschafter,Marketing
Account-Manager,Sales
Head of Digital Radio Design,Other
Assistent,Administrative
Polizistin,Other
Managing Partner,Other
Global Product Marketing Manager,Marketing
Produktingenieur,Other
Vorstand / CEO bei Eberhard AG,Other
Projektingenieur,Project Management
Managing Partner,Other
Geschäftsführender Gesellschafter,Other
SVP 3DS-Solutions CENIT Group,Consulting
Senior Vice President APAC,Other
CEO Co-owner,Other
Business Strategy Consultant,Consulting
Managing Director,Other
Recreation Manager,Other
Stiftungsrat,Other
Projektplaner,Project Management
Senior Manager,Consulting
Information Technology Specialist -ITCS,Information Technology
Geschäftsführender Inhaber,Other
Gebietsverkaufsleiterin Implantologie & Prothetik,Sales
Vice President,Other
Senior Vice President,Other
Platin,Marketing
Executive Partner Development Manager,Business Development
Departementssekretär / Leiter Amt für Militär und Bevölkerungsschutz,Administrative
CEO,Other
Partner,Other
Chief Executive Officer,Other
Arbeitssuche,Other
Managing Director,Consulting
Head of Global Competence Center MO/BO/Acc Business Analysis,Business Development
Alleiniger Vorstand,Other
Senior Software Engineer,Information Technology
Owner,Other
Projektleiter,Project Management
Leiter Program Management RADAR,Project Management
Geschäftsführer,Other
Pharmacy Sales Representative,Sales
Bereichsleiter Finanzen und Rechnungswesen,Other
"Geschäftsleitung, Prokurist",Other
Sales Manager,Sales
Industrial Engineer,Other
Pflegedienstleitung,Other
Principal Consultant,Consulting
"Projektexperte Sicherheit, Geschäftsleitung",Project Management
Solution Designer,Information Technology
Founder -Owner,Other
Human Resources Manager,Human Resources
Einkäufer Werkleistungen/Diestleistugen,Purchasing
Regional Manager,Other
Head of Hybrid Cloud Solution Sales Germany,Sales
Director,Other
Doctoral Student,Other
Project Manager Entwicklung /Lebensmittel,Project Management
Consultant,Consulting
General Counsel / Leiter Rechtsabteilung,Other
Team Lead Business Services,Other
CEO & Co-founder,Other
Juristischer Berater,Consulting
"Leitung Personal, Finanzen, Einkauf, IT",Other
