position,seniority,department
bookkeeper,Junior,Administrative
strategy & investments,Management,Business Development
corporate auditor,Senior,Other
marketing manager,Senior,Marketing
professor,Senior,Other
program purchasing leader   program   acquisition buyer,Senior,Purchasing
business analyst,Junior,Business Development
managementberater it  und governance,Senior,Consulting
founder & ceo,Senior,Other
geschäftsführer,Management,Other
manager,Senior,Other
koordinerende sagsbehandler,Junior,Customer Support
head of supply chain,Senior,Purchasing
director of finance (china),Senior,Other
inhaber,Management,Other
vorstand,Senior,Other
mitglied der geschäftsleitung,Senior,Other
"global marketing director, nonwovens",Senior,Marketing
social researcher,Junior,Other
berater,Junior,Consulting
center management,Junior,Other
senior project manager,Senior,Project Management
federal account manager,Senior,Sales
brand strategist,Junior,Marketing
senior category manager,Senior,Other
general manager,Management,Other
owner and executive director,Professional,Other
founder & managing director,Senior,Other
orthodontie assistent,Junior,Other
manager risk advisory,Senior,Other
systemadministrator clientservices,Management,Customer Support
it program manager – information security,Senior,Information Technology
pionier der strömungsoptimierung und wasserstofftechnologien für effiziente energielösungen,Senior,Other
ceo,Senior,Other
head of payment it solutions,Senior,Information Technology
banking prudential supervision analyst,Senior,Other
geschäftsführer,Management,Other
investor,Management,Business Development
svp people & culture management and services; ceo metro campus services gmbh,Senior,Human Resources
building consultant,Junior,Project Management
managing director,Senior,Other
senior director,Senior,Other
commercial director on trade,Senior,Business Development
ceo,Senior,Other
senior manager,Senior,Other
graduate engineer,Junior,Other
senior architect,Senior,Other
dozent dhbw stuttgart,Junior,Other
mitbegründer und geschäftsführer,Senior,Other
data researcher,Senior,Other
co fundador & lead developer,Lead,Other
sales manager,Senior,Sales
"director, digital services business",Senior,Business Development
unternehmensinhaber,Management,Business Development
docent lichamelijke opvoeding,Senior,Other
marketing engineer,Junior,Marketing
technischer leiter,Senior,Information Technology
senior advisor to the cs pension fund in switzerland,Senior,Consulting
gruppenleiter hr kpi & reporting,Management,Human Resources
ceo,Senior,Other
responsable développement projets,Management,Business Development
transformation partner,Management,Consulting
"executive partner, senior software engineer",Senior,Other
secretary general ceo welthungerhilfe,Management,Other
fachreferent matwerk   materials engineering specialist,Senior,Other
gesellschafter,Management,Other
statistiker,Junior,Other
chief operating officer,Senior,Other
adjunct researcher,Junior,Other
self employed,Junior,Other
founding partner,Senior,Other
partner,Management,Other
chief information officer,Senior,Information Technology
visiting lecturer,Junior,Other
präsidentin technische universität berlin,Senior,Other
sr. customer support spec.,Junior,Customer Support
personalreferent,Junior,Human Resources
pflegefachkraft,Junior,Other
subcommittee member,Management,Other
deputy chief,Senior,Other
product manager,Senior,Other
om customer success manager,Junior,Customer Support
geschäftsführer,Management,Other
senior director product management,Senior,Other
matelot,Junior,Other
gebietsleiter lbs nordwest,Management,Other
"country lead, country clinical operations",Senior,Information Technology
director,Senior,Other
sales manager,Senior,Sales
undergraduate research assistant,Junior,Other
technical specialist,Professional,Information Technology
team lead global supply management,Management,Other
leiter projektmanagement   projektleiter,Senior,Project Management
unternehmensinhaber,Management,Business Development
lehrgangsleiter hr assistent*in & referent sb personalwesen,Junior,Human Resources
corporate recruiter,Junior,Human Resources
unternehmensinhaber,Management,Business Development
avionics sensor systems and electronic warfare systems,Junior,Other
owner,Professional,Other
global category manager   technology & payment solutions,Senior,Marketing
program manager,Senior,Project Management
senior software developer,Senior,Information Technology
geschäftsführer   ceo&coo,Management,Other
customer executive & member of management northern europe,Senior,Customer Support
senior software engineer at liz smart office gmbh,Senior,Information Technology
recruitment consultant,Junior,Business Development
ceo,Management,Other
corporate communications & marketing services senior manager,Senior,Marketing
international clinical project manager,Senior,Project Management
leiter inhouse logistik,Senior,Other
technology lead germany   global partner solutions,Senior,Information Technology
director of sales and marketing,Senior,Sales
customer success manager,Senior,Customer Support
trade marketing manager,Management,Marketing
head currency solutions,Senior,Sales
svp sales & accounts,Senior,Sales
managing director,Senior,Other
construction site leader,Junior,Other
data manager,Senior,Information Technology
vice president   supplier enablement coe,Senior,Other
heimleiterin,Junior,Human Resources
chief executive officer,Senior,Other
senior manager,Senior,Other
director of education,Senior,Other
gerente comercial,Management,Sales
designer,Junior,Other
gerente de rr.hh mexico,Management,Sales
business development & key account manager,Senior,Business Development
ceo,Senior,Other
quality coordinator,Senior,Other
"pensionskundechef   account executive   global employee benefits, corporate pension",Senior,Customer Support
principal advisor,Senior,Consulting
senior manager,Senior,Other
geschäftsführender gesellschafter,Management,Other
sales director emea,Senior,Sales
geschäftsführender gesellschafter,Management,Other
verkaufsleiter,Management,Sales
chief executive officer,Senior,Other
senior program manager,Senior,Other
cst,Junior,Other
r&d group manager,Senior,Other
klinischer psychologe,Junior,Other
software developer,Junior,Information Technology
coo (geschäftsführende gesellschafterin),Management,Other
geschäftsführender gesellschafter,Management,Other
expat jumbo operator,Senior,Other
geschäftsführer,Management,Other
retired,Professional,Other
application specialist,Professional,Information Technology
executive director   head of un advocacy,Senior,Other
project v&v manager,Senior,Project Management
rechtsanwalt | counsel,Senior,Other
indigenous counsellor & case manager   niiwin wendaanimak,Junior,Customer Support
bauleiter,Junior,Project Management
amministrazione,Junior,Administrative
head of customer sales service & sales controlling,Senior,Sales
engineering manager,Senior,Other
retired but still active and interested in optics development and metrology,Professional,Other
sales consultant   business application,Junior,Sales
senior technical consultant,Senior,Consulting
nurse practitioner,Junior,Other
packhouse managing consultant,Senior,Consulting
verwaltungsrat,Management,Administrative
development manager,Senior,Other
vertriebsspezialist,Management,Sales
rechtsanwalt,Senior,Other
hw developer bu motion,Junior,Information Technology
head of organization projects and facility operations,Senior,Project Management
head of global life products,Senior,Marketing
investor,Management,Business Development
geschäftsführer,Management,Other
executive assistant to the president,Senior,Administrative
webentwickler,Junior,Information Technology
director construction & engineering,Senior,Other
dekanatsrätin,Senior,Other
mitarbeiter produktmanagement,Junior,Other
manager | prokurist | strategie  und managementberatung financial services,Senior,Other
head of development,Senior,Other
manager,Senior,Other
chairman of the board,Senior,Other
stammdatenmanager r&d engineering   r&d,Senior,Information Technology
aktiver gesellschafter,Senior,Other
leiter produktion   mitinhaber,Senior,Other
senior manager,Senior,Other
president,Senior,Other
senior brand manager,Senior,Marketing
leiter instandhaltung,Senior,Other
salesman,Junior,Sales
senior human resources manager,Senior,Human Resources
direktor,Senior,Other
influencer marketing executive,Management,Marketing
unternehmensinhaber,Management,Business Development
vizepräsident junior,Junior,Other
prokurist   direktor touristik,Senior,Other
kipper  spedition,Junior,Other
pedagoga,Junior,Human Resources
behavioral health clinician,Junior,Customer Support
web developer,Junior,Information Technology
manager custom solutions,Senior,Other
responsable développement automotive,Management,Business Development
projektmanager strat. bk e e infrastruktur,Senior,Project Management
responsable de projet marketing et communications,Management,Marketing
geschäftsführung,Management,Other
approvisionneuse bilingue,Professional,Purchasing
digital product owner,Senior,Information Technology
head of legal,Senior,Other
receptionist,Junior,Customer Support
retail director dach,Management,Sales
chief executive officer,Senior,Other
general manager,Management,Other
purser,Junior,Other
vorstandsvorsitzender,Senior,Other
associate | m&a,Junior,Other
vp   talent acquisition & people & culture(hr),Senior,Human Resources
partner,Professional,Other
senior vice president r&d,Senior,Business Development
industriereiniger,Junior,Other
it consultant & solution architekt,Professional,Information Technology
senior vice president global supplier management,Senior,Business Development
sr. international agent,Junior,Customer Support
manager  hr ops & talent acquisition,Senior,Other
ceo,Senior,Other
production engineer,Senior,Other
quality engineering manager,Senior,Other
vertriebsleiter,Management,Sales
produktmanager,Junior,Other
partner und inhaber,Professional,Other
senior advisor,Senior,Consulting
hockey coach,Junior,Other
quality assurance manager   quality contract managment   gmp auditor,Senior,Other
svp transformation & strategy,Management,Business Development
"director, sales unit benelux",Senior,Sales
strategischer einkäufer,Management,Purchasing
vp market intelligence   business development   sales,Senior,Business Development
director   project implementation manager,Senior,Other
aktionär,Senior,Other
werkstudent facheinkauf interieur,Junior,Purchasing
account director,Management,Sales
head teacher in art,Junior,Other
chef,Junior,Other
geschäftsführer,Management,Other
general manager,Management,Other
spa concierge,Junior,Customer Support
geschäftsführender gesellschafter,Management,Other
account manager,Management,Sales
head of digital radio design,Senior,Information Technology
assistent,Junior,Customer Support
managing partner,Senior,Other
global product marketing manager,Senior,Marketing
produktingenieur,Senior,Other
vorstand   ceo bei eberhard ag,Senior,Other
projektingenieur,Senior,Other
chairman,Senior,Other
geschäftsführender gesellschafter,Management,Other
svp 3ds solutions cenit group,Senior,Sales
senior vice president apac,Senior,Business Development
ceo co owner,Senior,Other
business strategy consultant,Senior,Consulting
managing director,Senior,Other
recreation manager,Management,Customer Support
stiftungsrat,Management,Other
projektplaner,Junior,Other
senior manager,Senior,Other
information technology specialist  itcs,Management,Information Technology
geschäftsführender inhaber,Management,Other
gebietsverkaufsleiterin implantologie & prothetik,Senior,Other
vice president,Senior,Other
senior vice president,Senior,Business Development
platin,Junior,Other
executive partner development manager,Senior,Other
departementssekretär   leiter amt für militär und bevölkerungsschutz,Management,Administrative
ceo,Senior,Other
partner,Professional,Other
chief executive officer,Senior,Other
arbeitssuche,Junior,Administrative
managing director,Senior,Other
head of global competence center mo bo acc business analysis,Senior,Project Management
alleiniger vorstand,Senior,Other
senior software engineer,Senior,Information Technology
seminar staff,Junior,Other
projektleiter,Senior,Project Management
leiter program management radar,Senior,Project Management
geschäftsführer,Management,Other
pharmacy sales representative,Junior,Sales
bereichsleiter rechnungswesen und finanzen,Senior,Other
"geschäftsleitung, prokurist",Management,Other
sales manager,Senior,Sales
industrial engineer,Junior,Other
pflegedienstleitung,Senior,Other
principal consultant,Senior,Consulting
"projektexperte sicherheit, geschäftsleitung",Senior,Other
solution designer,Senior,Information Technology
founder  owner,Senior,Other
human resources manager,Management,Human Resources
regional manager,Management,Other
head of hybrid cloud solution sales germany,Senior,Sales
director   global banking,Senior,Other
doctoral student,Junior,Other
project manager entwicklung  lebensmittel,Senior,Project Management
consultant,Junior,Consulting
team lead business services,Management,Other
ceo & co founder,Senior,Other
juristischer berater,Junior,Other
"leitung personal, finanzen, einkauf, it | folkwang universität der künste",Senior,Other
